code,full_name,name
PK,巴基斯坦国际航空公司,巴基斯坦国际航空
PL,秘鲁航空运输公司,秘鲁航空
PO,美国Polar Air货运航空公司,美国Polar Air货运航空
PR,菲律宾航空公司,菲律宾航空
PU,乌拉圭国际空运公,乌拉圭国际空运
PX,新几内亚航空公司,新几内亚航空
PY,苏里南航空公司,苏里南航空
PZ,巴拉圭航空公司,巴拉圭航空
Q7,卡塔尔阿米利航空公司,卡塔尔阿米利航空
Q8,东亚太平洋货运航空公司,东亚太平洋货运航空
QF,快达航空公司（澳大利亚）,快达航空
QL,莱索托航空公司,莱索托航空
QM,马拉维航空公司,马拉维航空
QQ,里诺航空公司,里诺航空
QR,卡塔尔航空公司,卡塔尔航空
QU,乌干达航空公司,乌干达航空
QV,老挝民航局,老挝民航局
R5,马耳他包机航空有限公司,马耳他包机航空
RA,尼泊尔皇家家航空公司,尼泊尔皇家航空
RB,阿拉伯舒利亚航空公司,阿拉伯舒利亚航空
RG,巴西航空公司,巴西航空
RI,曼达拉航空公司（印度尼西亚）,曼达拉航空
RJ,约旦皇家航空公司,约旦皇家航空
RK,非洲航空公司（象牙海岸）,非洲航空
RN,厄拉尔国际航空公司（法国）,厄拉尔国际航空
RO,罗马尼亚航空运输公司,罗马尼亚航空
RY,江西航空公司,江西航空
SA,南非航空公司（南非）,南非航空
SF,法国包机航空公司,法国包机航空
SG,森巴迪航空公司,森巴迪航空
SI,阿拉伯之翼航空公司（约旦）,阿拉伯之翼航空
SJ,南方航空运输公司（美国）,南方航空-美国
SK,北欧航空公司（瑞典）,北欧航空
SN,比利时世界航空,布鲁塞尔航空
SQ,新加坡航空公司,新加坡航空
SR,瑞士航空公司,瑞士航空
SS,科尔塞国际航空公司（法国）,科尔塞国际航空
SU,俄罗斯国际航空公司,俄罗斯国际航空
SV,沙特阿拉伯航空公司,沙特阿拉伯航空
SW,纳米比亚航空公司,纳米比亚航空
SZ,塔吉克斯坦索蒙航空公司,索蒙航空公司
TA,塔卡国际航空公司（萨尔瓦多）,塔卡国际航空
TC,坦桑尼亚航空公司,坦桑尼亚航空
TG,泰国国际航空公司,泰国国际航空
TH,金鹏航空,金鹏航空
TK,土耳其航空公司,土耳其航空
TL,跨地中海航空公司（黎巴嫩）,跨地中海航空
TM,莫桑比克航空公司,莫桑比克航空
TN,澳大利亚航空公司,澳大利亚航空
TO,总统航空公司,总统航空
TP,葡萄牙航空运输公司,葡萄牙航空
QD,环巴西航空公司,环巴西航空
TS,贝宁航空运输公司,贝宁航空
TU,突尼斯航空公司,突尼斯航空
TW,环球航空公司（美国）,环球航空
TY,环海地航空公司,环海地航空
UA,美国联合航空公司,美国联合航空
UB,缅甸航空公司,缅甸航空
UC,拉德科航空公司（智利）,拉德科航空
UK,联合王国航空公司(英国）,联合王国航空
UL,斯里兰卡航空公司,斯里兰卡航空
UM,津巴布韦航空公司,津巴布韦航空
UN,俄罗斯录航空公司,俄罗斯录航空
UP,巴哈马控股航空公司（巴哈马）,巴哈马控股航空
*,多航联运,多航联运
WS,西捷航空公司,西捷航空
NK,精神航空公司,精神航空
F9,边疆航空公司,边疆航空
FL,穿越航空公司,穿越航空
EY,阿联酋国家航空公司,阿提哈德航空公司
VV,空中世界乌克兰航空,空中世界
UO,香港快运航空有限公司,香港快运航空
GE,复兴航空公司,复兴航空
U2,易捷航空公司,易捷航空
JJ,巴西塔姆航空公司,塔姆航空
KF,芬兰蓝天航空公司,蓝天航空
S7,西伯利亚航空公司,西伯利亚航空
D7,全亚洲航空,全亚洲航空
MV,全亚航空,全亚航空
XU,非洲快运航空公司,非洲快运航空
HX,香港航空有限公司,香港航空
