code,name,full_pin_yin,pin_yin,country_code
TYN,太原,taiyuan,TY,CN
TVS,唐山,tangshan,TS,CN
TCZ,腾冲,tengchong,TC,CN
TSN,天津,tianjin,TJ,CN
THQ,天水,tianshui,TS,CN
TNH,通化,tonghua,TH,CN
TGO,通辽,tongliao,TL,CN
TEN,铜仁,tongren,TR,CN
WXN,万州,wanzhou,WZ,CN
WEH,威海,weihai,WH,CN
WEF,潍坊,weifang,WF,CN
WNZ,温州,wenzhou,WZ,CN
WNH,文山,wenshan,WS,CN
WUA,乌海,wuhai,WH,CN
UCB,乌兰察布,wulanchabu,WLCB,CN
HLH,乌兰浩特,wulanhaote,WLHT,CN
URC,乌鲁木齐,wulumuqi,WLMQ,CN
WUX,无锡,wuxi,WX,CN
WUZ,梧州,wuzhou,WZ,CN
WUH,武汉,wuhan,WH,CN
WUS,武夷山,wuyishan,WYS,CN
SIA,西安,xian,XA,CN
XIC,西昌,xichang,XC,CN
XNN,西宁,xining,XN,CN
JHG,西双版纳,xishuangbanna,XSBN,CN
XIL,锡林浩特,xilinhaote,XLHT,CN
GXH,夏河,xiahe,XH,
XFN,襄阳,xiangyang,XY,CN
WUT,忻州,xinzhou,XZ,CN
ACX,兴义,xingyi,XY,CN
XUZ,徐州,xuzhou,XZ,CN
YNT,烟台,yantai,YT,CN
ENY,延安,yanan,YA,CN
YNJ,延吉,yanji,YJ,CN
YNZ,盐城,yancheng,YC,CN
YTY,扬州,yangzhou,YZ,CN
LDS,伊春,yichun,YC,CN
YIN,伊宁,yining,YN,CN
YBP,宜宾,yibin,YB,CN
YIH,宜昌,yichang,YC,CN
YIC,宜春,yichun,YC,CN
YIW,义乌,yiwu,YW,CN
INC,银川,yinchuan,YC,CN
LLF,永州,yongzhou,YZ,CN
UYN,榆林,yulin,YL,CN
YUS,玉树,yushu,YS,CN
YYA,岳阳,yueyang,YY,
YCU,运城,yuncheng,YC,CN
ZHA,湛江,zhanjiang,ZJ,CN
DYG,张家界,zhangjiajie,ZJJ,CN
ZQZ,张家口,zhangjiakou,ZJK,CN
YZY,张掖,zhangye,ZY,CN
NBS,长白山,changbaishan,CBS,CN
CGQ,长春,changchun,CC,CN
CSX,长沙,changsha,CS,CN
CIH,长治,changzhi,CZ,CN
ZAT,昭通,zhaotong,ZT,CN
CGO,郑州,zhengzhou,ZZ,CN
ZGN,中山,zhongshan,ZS,CN
ZHY,中卫,zhongwei,ZW,CN
CKG,重庆,zhongqing,ZQ,CN
HSN,舟山,zhoushan,ZS,CN
ZUH,珠海,zhuhai,ZH,CN
ZYI,遵义,zunyi,ZY,CN
XAI,,xinyang,XY,
